id	title	description	google_product_category	product_type	link	image_link	condition	availability	price	brand	gtin	mpn	gender	age_group	item_group_id	color	size	material	pattern	adwords_grouping	adwords_labels	excluded_destination	adwords_redirect	shipping_weight
1	Personalized Gift Certificate	This product demonstrates a Gift Certificate with a few different option images.  It uses a Product Template configuration which allows the customer to add personalization.		Sample Category > Gift Ideas	http://180.151.232.92:107/Personalized-Gift-Certificate-P1.aspx	http://180.151.232.92:107/Assets/ProductImages/gift_card_goldbow.jpg	new	in stock	50.00															1.00 lb
3	Choose your own Gift Card	This item demonstrates a Variable Price Gift Certificate.  The merchant can set the minimum and maximum price which can then be entered by the customer.		Sample Category > Gift Ideas	http://180.151.232.92:107/Choose-your-own-Gift-Card-P3.aspx	http://180.151.232.92:107/Assets/ProductImages/gift_card_vip.jpg	new	in stock	0.00															1.00 lb
4	Flat Panel Plasma TV	This item demonstrates the use of a Product Template.  This makes repetitive data entry easier for the merchant.		Sample Category > Computers and Electronics	http://180.151.232.92:107/Flat-Panel-Plasma-TV-P4.aspx	http://180.151.232.92:107/Assets/ProductImages/plasma_tv.jpg	new	in stock	1999.00	Sanasonic		SN-42PX60U												70.00 lb
5	Build-your-Own Computer	This is a master Kit product.   It demonstrates the ability for a user to customize a product using the optional components that a merchants specifies.  A Kit can also be used for Gift Baskets.		Sample Category > Computers and Electronics	http://180.151.232.92:107/Build-your-Own-Computer-P5.aspx	http://180.151.232.92:107/Assets/ProductImages/computer_system2.jpg	new	in stock	999.00	Bell		DSK-TOP-KIT												30.00 lb
32	Computer Training Class	This product features the use of option combinations (variants) with inventory tracking.  The merchant may configure individual option combinations that are not available as selections. In this example, we've removed July 4th from the customer's choices. Allow Backorder is not enabled for this example.		Sample Category > Accessories	http://180.151.232.92:107/Computer-Training-Class-P32.aspx	http://180.151.232.92:107/Assets/ProductImages/computer_class.jpg	new	in stock	250.00	Bell		Training-8												0.00 lb
33	All-in-One Printer	This product features the ability to upsell.  When purchased, the customer will be presented with options to purchase ink cartridge, USB cable, and paper.		Sample Category > Computers and Electronics	http://180.151.232.92:107/All-in-One-Printer-P33.aspx	http://180.151.232.92:107/Assets/ProductImages/printer.jpg	new	in stock	199.99	Bell		B490												10.00 lb
34	Color Ink Cartridge	This product is used as a Upsell Product when a printer is purchased.		Sample Category > Accessories	http://180.151.232.92:107/Color-Ink-Cartridge-P34.aspx	http://180.151.232.92:107/Assets/ProductImages/ink_cartridge.jpg	new	in stock	35.99	Bell		7Y745												1.00 lb
35	USB 2.0 Cable	This product demonstrates options with price and SKU modifiers.		Sample Category > Accessories	http://180.151.232.92:107/USB-20-Cable-P35.aspx	http://180.151.232.92:107/Assets/ProductImages/printer_usb_cable.jpg	new	in stock	14.99			USB-20-												1.00 lb
36	Printer Paper	This item is a Upsell Product to the printer.  When the printer is purchased, this product will be displayed to the user for purchase.		Sample Category > Accessories	http://180.151.232.92:107/Printer-Paper-P36.aspx	http://180.151.232.92:107/Assets/ProductImages/printerpaper.jpg	new	in stock	18.95	Bell		PP-5831												2.00 lb
37	Free Download Sample	This product demonstrates how to setup a free Digital Delivery.  See Digital Goods for configuration settings.		Sample Category > Software and Subscriptions	http://180.151.232.92:107/Free-Download-Sample-P37.aspx	http://180.151.232.92:107/Assets/ProductImages/download_now.jpg	new	in stock	0.00															0.00 lb
38	Digital Goods with Options	This product demonstrates how to Digital Delivery using product options.  See Digital Goods for configuration settings.		Sample Category > Software and Subscriptions	http://180.151.232.92:107/Digital-Goods-with-Options-P38.aspx	http://180.151.232.92:107/Assets/ProductImages/software_box.jpg	new	in stock	49.00															0.00 lb
39	Ecommerce Magazine Subscription	This product uses a 12-month subscription plan.  Subscriptions can have a recurring billing plan or one-time payment option.		Sample Category > Software and Subscriptions	http://180.151.232.92:107/Ecommerce-Magazine-Subscription-P39.aspx	http://180.151.232.92:107/Assets/ProductImages/stack_magazines.jpg	new	in stock	19.95															0.00 lb
40	Category 5E Cable (per foot)	This product uses Volume discounts.  A minimum product purchase of 20 and a maximum quantity of 1000 is also used in this example.		Sample Category > Accessories	http://180.151.232.92:107/Category-5E-Cable-per-foot-P40.aspx	http://180.151.232.92:107/Assets/ProductImages/cat5_mixed.jpg	new	in stock	0.25			CAT-5e-NET												5.00 lb
41	AbleCommerce T-shirt	This product demonstrates how option combinations (Variants) are used with inventory control.  It also has some gift wrap options at checkout.		Sample Category > Gift Ideas	http://180.151.232.92:107/AbleCommerce-T-shirt-P41.aspx	http://180.151.232.92:107/Assets/ProductImages/tshirt_grey.jpg	new	in stock	6.99			Able-grey												1.00 lb
42	Universal Remote	This product is used as a Upsell Product to the Plasma TV.		Sample Category > Accessories	http://180.151.232.92:107/Universal-Remote-P42.aspx	http://180.151.232.92:107/Assets/ProductImages/remote_control2.jpg	new	in stock	19.99	Sanasonic		UNR-625												1.00 lb
43	Recurring Shipments	This is a recurring order subscription which will automatically generate new orders as the payment is coming due.		Sample Category > Software and Subscriptions	http://180.151.232.92:107/Recurring-Shipments-P43.aspx	http://180.151.232.92:107/Assets/ProductImages/hp-inkjet-cartridges.jpg	New	in stock	35.00				Unisex											5.00 lb
